"Step","informer_attn_b32_dim128_depth4-4_k=6 - train_loss","informer_attn_b32_dim128_depth4-4_k=6 - train_loss__MIN","informer_attn_b32_dim128_depth4-4_k=6 - train_loss__MAX"
"0","0.012263478711247444","0.012263478711247444","0.012263478711247444"
"1","0.005561185069382191","0.005561185069382191","0.005561185069382191"
"2","0.005248085595667362","0.005248085595667362","0.005248085595667362"
"3","0.08503463119268417","0.08503463119268417","0.08503463119268417"
"4","0.03044351562857628","0.03044351562857628","0.03044351562857628"
"5","0.010338487103581429","0.010338487103581429","0.010338487103581429"
"6","0.0062417942099273205","0.0062417942099273205","0.0062417942099273205"
"7","0.00712957140058279","0.00712957140058279","0.00712957140058279"
"8","0.004843963775783777","0.004843963775783777","0.004843963775783777"
"9","0.007902850396931171","0.007902850396931171","0.007902850396931171"
"10","0.005803349427878857","0.005803349427878857","0.005803349427878857"
"11","0.004724378697574139","0.004724378697574139","0.004724378697574139"
"12","0.004457649774849415","0.004457649774849415","0.004457649774849415"
"13","0.008026739582419395","0.008026739582419395","0.008026739582419395"
"14","0.005030524916946888","0.005030524916946888","0.005030524916946888"
"15","0.0041940947994589806","0.0041940947994589806","0.0041940947994589806"
"16","0.0039135473780334","0.0039135473780334","0.0039135473780334"
"17","0.008799456991255283","0.008799456991255283","0.008799456991255283"
"18","0.005475088953971863","0.005475088953971863","0.005475088953971863"
"19","0.0041002994403243065","0.0041002994403243065","0.0041002994403243065"
"20","0.004201623611152172","0.004201623611152172","0.004201623611152172"
"21","0.0037560719065368176","0.0037560719065368176","0.0037560719065368176"
"22","0.0036545696202665567","0.0036545696202665567","0.0036545696202665567"
"23","0.0037301182746887207","0.0037301182746887207","0.0037301182746887207"
"24","0.0037765423767268658","0.0037765423767268658","0.0037765423767268658"
"25","0.009317060001194477","0.009317060001194477","0.009317060001194477"
"26","0.005866283550858498","0.005866283550858498","0.005866283550858498"
"27","0.005453906022012234","0.005453906022012234","0.005453906022012234"
"28","0.004347554873675108","0.004347554873675108","0.004347554873675108"
"29","0.003908100537955761","0.003908100537955761","0.003908100537955761"
"30","0.004653380252420902","0.004653380252420902","0.004653380252420902"
"31","0.013167053461074829","0.013167053461074829","0.013167053461074829"
"32","0.005037073045969009","0.005037073045969009","0.005037073045969009"
"33","0.0059447274543344975","0.0059447274543344975","0.0059447274543344975"
"34","0.004243454895913601","0.004243454895913601","0.004243454895913601"
"35","0.003902137978002429","0.003902137978002429","0.003902137978002429"
"36","0.0037184013053774834","0.0037184013053774834","0.0037184013053774834"
"37","0.00408210651949048","0.00408210651949048","0.00408210651949048"
"38","0.006227441132068634","0.006227441132068634","0.006227441132068634"
"39","0.004976342432200909","0.004976342432200909","0.004976342432200909"
"40","0.004997921176254749","0.004997921176254749","0.004997921176254749"
"41","0.0046129124239087105","0.0046129124239087105","0.0046129124239087105"
"42","0.003678952343761921","0.003678952343761921","0.003678952343761921"
"43","0.00430077500641346","0.00430077500641346","0.00430077500641346"
"44","0.004053628537803888","0.004053628537803888","0.004053628537803888"
"45","0.003425206523388624","0.003425206523388624","0.003425206523388624"
"46","0.0037268786691129208","0.0037268786691129208","0.0037268786691129208"
"47","0.0039138831198215485","0.0039138831198215485","0.0039138831198215485"
"48","0.0036938150878995657","0.0036938150878995657","0.0036938150878995657"
"49","0.004168370738625526","0.004168370738625526","0.004168370738625526"
"50","0.007947281002998352","0.007947281002998352","0.007947281002998352"
"51","0.004300545435398817","0.004300545435398817","0.004300545435398817"
"52","0.0043530878610908985","0.0043530878610908985","0.0043530878610908985"
"53","0.004017429426312447","0.004017429426312447","0.004017429426312447"
"54","0.004106642212718725","0.004106642212718725","0.004106642212718725"
"55","0.004196305759251118","0.004196305759251118","0.004196305759251118"
"56","0.004051285330206156","0.004051285330206156","0.004051285330206156"
"57","0.003497931407764554","0.003497931407764554","0.003497931407764554"
"58","0.003783330786973238","0.003783330786973238","0.003783330786973238"
"59","0.0034549939446151257","0.0034549939446151257","0.0034549939446151257"
"60","0.0035679268185049295","0.0035679268185049295","0.0035679268185049295"
"61","0.00324066448956728","0.00324066448956728","0.00324066448956728"
"62","0.003373481333255768","0.003373481333255768","0.003373481333255768"
"63","0.003488489892333746","0.003488489892333746","0.003488489892333746"
"64","0.003609561361372471","0.003609561361372471","0.003609561361372471"
"65","0.0038101181853562593","0.0038101181853562593","0.0038101181853562593"
"66","0.003304180921986699","0.003304180921986699","0.003304180921986699"
"67","0.00365607556886971","0.00365607556886971","0.00365607556886971"
"68","0.0034094955772161484","0.0034094955772161484","0.0034094955772161484"
"69","0.003301616758108139","0.003301616758108139","0.003301616758108139"
"70","0.0036591102834790945","0.0036591102834790945","0.0036591102834790945"
"71","0.0035224028397351503","0.0035224028397351503","0.0035224028397351503"
"72","0.003561411052942276","0.003561411052942276","0.003561411052942276"
"73","0.0032844136003404856","0.0032844136003404856","0.0032844136003404856"
"74","0.003307121340185404","0.003307121340185404","0.003307121340185404"
"75","0.003289617132395506","0.003289617132395506","0.003289617132395506"
"76","0.0030664941295981407","0.0030664941295981407","0.0030664941295981407"
"77","0.0032919892109930515","0.0032919892109930515","0.0032919892109930515"
"78","0.0032046388369053602","0.0032046388369053602","0.0032046388369053602"
"79","0.00335750263184309","0.00335750263184309","0.00335750263184309"
"80","0.003023147350177169","0.003023147350177169","0.003023147350177169"
"81","0.0030424261931329966","0.0030424261931329966","0.0030424261931329966"
"82","0.003632310777902603","0.003632310777902603","0.003632310777902603"
"83","0.0033973343670368195","0.0033973343670368195","0.0033973343670368195"
"84","0.003588995896279812","0.003588995896279812","0.003588995896279812"
"85","0.003189604729413986","0.003189604729413986","0.003189604729413986"
"86","0.003298361087217927","0.003298361087217927","0.003298361087217927"
"87","0.0034424839541316032","0.0034424839541316032","0.0034424839541316032"
"88","0.0034646138083189726","0.0034646138083189726","0.0034646138083189726"
"89","0.0031381964217871428","0.0031381964217871428","0.0031381964217871428"
"90","0.0035076718777418137","0.0035076718777418137","0.0035076718777418137"
"91","0.003149793017655611","0.003149793017655611","0.003149793017655611"
"92","0.0029125658329576254","0.0029125658329576254","0.0029125658329576254"
"93","0.003701357403770089","0.003701357403770089","0.003701357403770089"
"94","0.0032620106358081102","0.0032620106358081102","0.0032620106358081102"
"95","0.0033469144254922867","0.0033469144254922867","0.0033469144254922867"
"96","0.0033360577654093504","0.0033360577654093504","0.0033360577654093504"
"97","0.003144593443721533","0.003144593443721533","0.003144593443721533"
"98","0.0035107897128909826","0.0035107897128909826","0.0035107897128909826"
"99","0.0030602673068642616","0.0030602673068642616","0.0030602673068642616"
